date,k,seed,cout,silhouette,nb_series,nb_features,min_cluster_size,max_cluster_size
2026-07-05 18:18,3,42,1303195.33,0.3883,55803,26,1317,46479
2026-07-05 18:19,3,123,1333500.97,0.0763,55803,26,2271,49082
2026-07-05 18:20,3,456,1338570.01,0.3321,55803,26,1,53531
2026-07-05 18:22,5,42,1212707.64,0.2456,55803,26,973,33042
2026-07-05 18:23,5,123,1205156.19,0.0491,55803,26,453,24663
2026-07-05 18:24,5,456,1216131.43,0.0664,55803,26,405,45147
2026-07-05 18:26,8,42,1083132.58,0.1846,55803,26,494,26469
2026-07-05 18:28,8,123,1068733.54,0.2095,55803,26,7,37656
2026-07-05 18:30,8,456,1039329.4,0.3746,55803,26,235,42224
2026-07-05 18:31,10,42,968138.58,0.2701,55803,26,223,27195
2026-07-05 18:32,10,123,948202.11,0.201,55803,26,25,28851
2026-07-05 18:34,10,456,977015.34,0.2459,55803,26,1,39179
2026-07-05 18:35,12,42,854624.15,0.3187,55803,26,311,32494
2026-07-05 18:36,12,123,892766.75,0.315,55803,26,7,36173
2026-07-05 18:37,12,456,881399.51,0.2382,55803,26,1,22857
2026-07-05 18:38,15,42,730235.08,0.255,55803,26,25,28818
2026-07-05 18:39,15,123,768557.19,0.242,55803,26,1,12074
2026-07-05 18:40,15,456,720120.1,0.227,55803,26,1,23599
